instance,algorithm,seed,objv,lb
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_999,MIP,4,454.0,166.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_999,MIP,10,726.0,454.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,10,706.0,394.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_999,MIP,2,750.0,621.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_999,MIP,9,429.0,165.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_999,MIP,9,693.0,381.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,MIP,5,790.0,576.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,7,523.0,288.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,6,493.0,319.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,8,745.0,490.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_999,MIP,10,521.0,266.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_999,MIP,2,662.0,168.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_999,MIP,7,719.0,459.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_999,MIP,10,781.0,676.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,6,733.0,210.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,10,472.0,319.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,3,427.0,197.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,2,556.0,287.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,MIP,9,783.0,613.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_999,MIP,3,680.0,171.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,5,543.0,319.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,MIP,4,797.0,617.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,4,406.0,231.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,MIP,5,780.0,480.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,2,708.0,393.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,7,742.0,454.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_999,MIP,2,507.0,238.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_999,MIP,4,682.0,239.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_999,MIP,1,698.0,165.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_999,MIP,7,547.0,268.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_999,MIP,4,753.0,545.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_999,MIP,8,756.0,487.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,MIP,3,790.0,611.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,MIP,7,782.0,541.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_999,MIP,1,748.0,623.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,MIP,6,782.0,582.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_999,MIP,8,653.0,166.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_999,MIP,5,515.0,270.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_999,MIP,1,727.0,493.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_999,MIP,6,723.0,454.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_999,MIP,9,760.0,621.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,9,579.0,211.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,5,747.0,490.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,2,743.0,210.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_999,MIP,8,708.0,328.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_999,MIP,8,457.0,190.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,4,737.0,358.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_999,MIP,9,763.0,674.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,MIP,1,788.0,548.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_999,MIP,5,777.0,550.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_999,MIP,7,727.0,162.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_999,MIP,3,474.0,189.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,3,543.0,313.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_999,MIP,4,732.0,454.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_999,MIP,10,692.0,167.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_999,MIP,2,734.0,495.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,2,412.0,230.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,6,753.0,490.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,5,699.0,208.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_999,MIP,3,516.0,268.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_999,MIP,10,461.0,160.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,MIP,3,790.0,539.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,MIP,9,788.0,491.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_999,MIP,4,685.0,326.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_999,MIP,9,473.0,192.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,MIP,10,782.0,662.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_999,MIP,5,729.0,497.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_999,MIP,8,761.0,625.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,MIP,9,790.0,634.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_999,MIP,9,757.0,560.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_999,MIP,4,761.0,677.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,MIP,2,776.0,543.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_999,MIP,1,470.0,190.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,MIP,8,789.0,667.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_999,MIP,3,743.0,492.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,7,718.0,397.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_999,MIP,10,762.0,616.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,MIP,5,785.0,666.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,8,732.0,212.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,10,750.0,491.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_999,MIP,6,679.0,163.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_999,MIP,10,428.0,163.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,4,511.0,321.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_999,MIP,1,516.0,268.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,9,481.0,314.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,MIP,2,785.0,664.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,MIP,10,552.0,210.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,6,740.0,355.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_999,MIP,5,685.0,233.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_999,MIP,6,757.0,628.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,MIP,1,785.0,608.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_999,MIP,5,784.0,649.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_999,MIP,8,491.0,139.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,1,605.0,210.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,7,714.0,219.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_999,MIP,3,427.0,167.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_999,MIP,3,767.0,677.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,10,403.0,228.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,8,400.0,227.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_999,MIP,6,708.0,372.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_999,MIP,2,455.0,167.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_999,MIP,7,753.0,495.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,MIP,6,461.0,210.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_999,MIP,2,771.0,546.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,8,502.0,287.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,1,746.0,451.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_123,MIP,7,778.0,578.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_999,MIP,2,734.0,309.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,1,733.0,391.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_999,MIP,6,429.0,166.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_999,MIP,6,471.0,193.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,MIP,9,420.0,169.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_999,MIP,9,508.0,235.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_999,MIP,2,762.0,678.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_999,MIP,8,512.0,238.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_999,MIP,4,758.0,624.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,MIP,10,777.0,540.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,MIP,3,790.0,665.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,8,760.0,358.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,MIP,1,445.0,198.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,MIP,8,375.0,170.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_123,MIP,6,778.0,548.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,MIP,6,783.0,632.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_999,MIP,3,756.0,624.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_123,MIP,3,722.0,360.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_123,MIP,3,601.0,207.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,MIP,7,789.0,638.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_999,MIP,9,725.0,489.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_999,MIP,6,765.0,673.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,3,717.0,217.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_999,MIP,5,423.0,167.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_999,MIP,1,461.0,139.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_999,MIP,3,729.0,326.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_999,MIP,7,766.0,673.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_999,MIP,6,513.0,265.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_999,MIP,10,717.0,369.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,3,751.0,488.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_999,MIP,4,519.0,267.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_123,MIP,4,797.0,664.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_123,MIP,9,749.0,491.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_999,MIP,6,743.0,546.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_999,MIP,5,723.0,331.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_999,MIP,2,454.0,191.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_123,MIP,4,656.0,221.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_555,MIP,5,824.0,358.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_555,MIP,4,826.0,360.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_555,MIP,1,822.0,391.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_333,MIP,5,769.0,208.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_777,MIP,4,824.0,487.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_777,MIP,3,591.0,380.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_777,MIP,5,828.0,580.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_555,MIP,1,855.0,409.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_777,MIP,5,850.0,530.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_333,MIP,4,815.0,587.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_333,MIP,2,645.0,161.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_555,MIP,3,591.0,272.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_333,MIP,4,609.0,190.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_777,MIP,2,801.0,227.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_333,MIP,2,534.0,188.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_777,MIP,4,800.0,318.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_333,MIP,5,765.0,412.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_777,MIP,3,857.0,577.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_777,MIP,4,832.0,516.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_777,MIP,1,837.0,517.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_333,MIP,5,578.0,195.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_333,MIP,5,528.0,192.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_555,MIP,1,864.0,598.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_555,MIP,1,880.0,696.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_777,MIP,2,861.0,766.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_777,MIP,2,753.0,337.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_555,MIP,1,734.0,189.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_333,MIP,4,598.0,322.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_333,MIP,2,812.0,584.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_777,MIP,4,863.0,767.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_777,MIP,4,824.0,605.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_333,MIP,4,787.0,219.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_555,MIP,2,779.0,188.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_555,MIP,3,854.0,516.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_777,MIP,1,864.0,768.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_555,MIP,2,858.0,397.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_777,MIP,1,699.0,203.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_777,MIP,3,847.0,691.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_777,MIP,2,435.0,202.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_333,MIP,3,816.0,536.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_555,MIP,4,501.0,280.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_555,MIP,2,610.0,170.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_555,MIP,2,505.0,190.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_555,MIP,5,861.0,600.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_777,MIP,4,701.0,203.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_777,MIP,2,828.0,582.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_555,MIP,2,864.0,597.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_555,MIP,4,863.0,434.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_777,MIP,3,819.0,428.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_555,MIP,4,798.0,190.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_333,MIP,2,748.0,409.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_777,MIP,2,848.0,438.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_777,MIP,1,704.0,201.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_555,MIP,5,656.0,305.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_333,MIP,2,827.0,718.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_555,MIP,1,493.0,172.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_333,MIP,4,776.0,525.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_555,MIP,4,435.0,168.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_777,MIP,2,505.0,241.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_555,MIP,5,851.0,423.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_333,MIP,1,769.0,404.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_777,MIP,1,850.0,675.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_555,MIP,5,453.0,193.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_777,MIP,3,372.0,203.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_333,MIP,5,827.0,636.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_333,MIP,5,576.0,323.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_333,MIP,1,521.0,196.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_333,MIP,1,810.0,531.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_777,MIP,5,800.0,233.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_333,MIP,3,759.0,217.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_555,MIP,3,851.0,429.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_777,MIP,5,760.0,240.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_555,MIP,2,507.0,313.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_555,MIP,3,878.0,689.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_333,MIP,4,823.0,637.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_333,MIP,1,776.0,527.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_555,MIP,3,483.0,189.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_333,MIP,3,824.0,701.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_333,MIP,3,808.0,664.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_555,MIP,2,876.0,672.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_777,MIP,1,846.0,586.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_777,MIP,5,862.0,762.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_333,MIP,2,739.0,211.0
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_333,MIP,3,531.0,190.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_777,MIP,3,862.0,768.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_777,MIP,2,846.0,676.0
Medium_Moderate_Light_High_Few_Moderate_Early_VeryLate_333,MIP,5,818.0,574.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_555,MIP,2,827.0,362.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_333,MIP,1,816.0,641.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_333,MIP,4,758.0,411.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_333,MIP,5,818.0,700.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_777,MIP,3,819.0,232.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_777,MIP,4,851.999998,691.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_777,MIP,1,755.0,232.0
Medium_Moderate_Light_Medium_Few_Moderate_Early_VeryLate_555,MIP,3,856.0,602.0
Medium_Moderate_Light_High_Moderate_Moderate_Early_VeryLate_555,MIP,5,756.0,227.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_555,MIP,4,878.0,684.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_555,MIP,2,858.0,538.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_555,MIP,4,855.0,519.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_333,MIP,3,783.0,528.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_333,MIP,1,606.0,322.0
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_333,MIP,3,640.0,318.0
Medium_Moderate_Light_Low_Few_Moderate_Early_VeryLate_555,MIP,5,879.0,692.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_555,MIP,5,532.0,169.0
Medium_Moderate_Light_High_Many_Moderate_Early_VeryLate_555,MIP,3,348.0,171.0
Medium_Moderate_Light_Medium_Moderate_Moderate_Early_VeryLate_555,MIP,3,827.0,370.0
Medium_Moderate_Light_Low_Moderate_Moderate_Early_VeryLate_777,MIP,3,847.0,579.0
